	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	46	-0.17705736185497464	0.008794955534827214	218.0	1.9173003065923326	148	-0.22885645181601288	0.014761448712612112	113.0	1.6680437045251686	20	0.23667960076412964	0.02640848425740057	88.0	2.32394661465125	268	0.16588260037342978	0.0248186829896495	183.0	4.5418189871058585	125	0.269598269859472	0.0026736409072290837	122	0.3261841906819482	37	-0.159551804027606	0.008629686858941691	270.0	2.3300154519142566	98	-0.2488166948091807	0.0034893741702512315	136.0	0.4745548871541675	93	0.3800909883066062	0.0013881425289482964	68.0	0.09439369196848416	147	0.39810377931355173	0.0005855192015373963	71.0	0.04157186330915514	105	0.21728501291978192	0.04989198337425774	82.0	4.091142636689135	274	0.29326920761868597	0.010663352959122758	75.0	0.7997514719342068	140	0.2778563945227067	0.019863411114209976	70.0	1.3904387779946983	210	-0.40726505164954363	0.004066815284030657	48.0	0.19520713363347153	256	0.4210152982853907	0.014690882360231364	33.0	0.484799117887635	34	0.5016662883903725	0.0034418336939420016	32.0	0.11013867820614405	154	-0.30557111426102695	0.0015250714037068345	105.0	0.16013249738921762	61	-0.39291983550183285	0.016143632436531972	37.0	0.5973144001516829
1	287	0.1473017638038176	0.02968598916093959	218.0	6.471545637084831	290	-0.1982653057592835	0.035282531788998886	113.0	3.986926092156874	192	0.2306901100296841	0.030588916145651086	88.0	2.6918246208172953	139	0.1657041052772331	0.024976599840106608	183.0	4.57071777073951	39	-0.26795438272559235	0.0028455232105714097	122	0.347153831689712	213	-0.12461450135082613	0.04074581121426754	270.0	11.001369027852236	56	0.1967001231794043	0.021721943722018185	136.0	2.9541843461944732	109	-0.36527083784339215	0.0021924670052215814	68.0	0.14908775635506755	150	-0.3628107031646215	0.0018739053960977455	71.0	0.13304728312293992						80	0.2544206096449824	0.027614230611735548	75.0	2.071067295880166	37	-0.2653193697006265	0.026432401996385482	70.0	1.8502681397469838	70	0.3951774065520073	0.005438601910782455	48.0	0.26105289171755786	287	0.4122366410587223	0.017129866421463413	33.0	0.5652855919082926	259	0.4827027816031879	0.00513989887288326	32.0	0.16447676393226432	163	-0.223919823129739	0.0216605040186744	105.0	2.274352921960812	114	-0.34357833443116914	0.03733980927759262	37.0	1.381572943270927
2						232	-0.19652238506727307	0.03695834266990311	113.0	4.176292721699052	131	-0.21752170472710208	0.04177002969743771	88.0	3.6757626133745185	298	0.15977748352230817	0.030732544591344623	183.0	5.624055660216066	45	0.2633947771041353	0.0033756169422556213	122	0.4118252669551858	74	0.12158349202186468	0.045938014644282994	270.0	12.403263953956408	257	-0.19020743772166462	0.026555107560383196	136.0	3.6114946282121148	32	0.34367657578398386	0.004111904894065587	68.0	0.2796095327964599	80	-0.3496722272496711	0.0027983229487525915	71.0	0.198680929361434						225	-0.24819758229395822	0.03178766835454776	75.0	2.384075126591082	138	0.26052120454136485	0.029391552464986377	70.0	2.0574086725490464	252	0.37936576497333085	0.007831278538751941	48.0	0.37590136986009315	227	-0.40439631532621423	0.01958499809645137	33.0	0.6463049371828953	51	-0.4757218966245879	0.005924566869949716	32.0	0.1895861398383909	14	0.22280803722303222	0.022337964181818194	105.0	2.3454862390909104					
3						10	-0.19196473721422974	0.041659123389123504	113.0	4.707480942970956	87	-0.21024115207719724	0.049290415721216986	88.0	4.337556583467094	11	-0.15748328392683397	0.03324595633762241	183.0	6.084010009784901	14	0.26201267036427306	0.0035529817252872176	122	0.43346377048504053	96	0.12082645563562858	0.04731802992157611	270.0	12.77586807882555	273	0.18101860447738563	0.0349452901798328	136.0	4.752559464457261	296	0.33936888881193883	0.004637835331698044	68.0	0.31537280255546696	166	-0.31673957784801887	0.007119717390492271	71.0	0.5054999347249512						246	0.24798685656442118	0.03193778593243935	75.0	2.3953339449329514	104	-0.2555139586492686	0.03277190419017849	70.0	2.294033293312494	17	-0.3785175798701509	0.007982069683757817	48.0	0.38313934482037526	134	0.3963220370884571	0.022411740544327055	33.0	0.7395874379627928	122	0.46661197300286866	0.007100740861745485	32.0	0.22722370757585553	21	-0.22018811972635766	0.024006541998365695	105.0	2.520686909828398					
4						234	0.18536447333072908	0.04934341688496017	113.0	5.575806108000499						166	0.14943563983499092	0.04348438710166788	183.0	7.957642839605223	131	-0.2604064285987533	0.0037695944824988124	122	0.4598905268648551	162	0.12061250208798548	0.04771427513584439	270.0	12.882854286677986	276	-0.17875864804053349	0.037321794256110485	136.0	5.075764018831026	179	-0.338317818206963	0.004774860842486613	68.0	0.3246905372890897	140	-0.3104124762920887	0.008424145203320337	71.0	0.598114309435744						136	0.24071500076912386	0.037494796920281764	75.0	2.8121097690211325						295	-0.3561662245167507	0.012968900005950338	48.0	0.6225072002856162	117	-0.39363953465744844	0.023422317329422435	33.0	0.7729364718709404	237	-0.43197115785950413	0.013554047596030624	32.0	0.43372952307297996	183	-0.21757684493998675	0.02577444741393003	105.0	2.7063169784626533					
5																289	-0.14886427077417605	0.04430221208264459	183.0	8.10730481112396	83	0.25796253813301784	0.004121944874260523	122	0.5028772746597838						167	-0.17820423936801877	0.037925135543680225	136.0	5.157818433940511	116	0.33727980828878235	0.004913684261229401	68.0	0.33413052976359925	298	0.3002893428444886	0.010946994357392744	71.0	0.7772365993748848						16	0.24035251430240304	0.03779166416955872	75.0	2.834374812716904						22	0.3554982356926818	0.013151810628242042	48.0	0.631286910155618	20	0.3920706998689467	0.024030560798185992	33.0	0.7930085063401378	206	0.42234374647402884	0.01604157440703677	32.0	0.5133303810251766	168	0.20539820062343306	0.03555522084888558	105.0	3.7332981891329857					
6																56	0.14671368295424683	0.0474967277213906	183.0	8.69190117301448	22	0.2561380337048869	0.004403937582002139	122	0.537280385004261						231	0.1770786798871431	0.03917529144968381	136.0	5.327839637156998	208	-0.32399916341111046	0.007031341789533199	68.0	0.47813124168825755	224	0.3000351565001328	0.011017996842164554	71.0	0.7822777757936833						277	0.23927877083726873	0.03868254422268102	75.0	2.9011908167010763						116	-0.34409156926978557	0.01663269607441748	48.0	0.7983694115720391	259	-0.3916930449122788	0.024178906318141617	33.0	0.7979039084986733	231	0.41856228884337887	0.017117541844397864	32.0	0.5477613390207317	231	-0.2038524936961428	0.03699516601577494	105.0	3.8844924316563687					
7																8	-0.14599275357803002	0.04860968477502769	183.0	8.895572313830067	288	-0.25376378527326265	0.004796699139705502	122	0.5851972950440713						15	0.17597870731624146	0.04043027833024892	136.0	5.498517852913853	293	-0.32010091177356154	0.007788724202973408	68.0	0.5296332458021917	103	-0.29698687196268464	0.011901159018617564	71.0	0.844982290321847						45	0.23315352708533807	0.04410502566821044	75.0	3.307876925115783						156	-0.3422604545014035	0.017258575803699352	48.0	0.8284116385775688	27	0.3905082468112295	0.024649207220597123	33.0	0.8134238382797051	36	0.41175246820759115	0.019206625290678403	32.0	0.6146120093017089	128	-0.2037338670085828	0.03710766912935114	105.0	3.896305258581869					
8																					285	-0.25119593498422343	0.005256452212206596	122	0.6412871698892048						287	-0.1758352112361055	0.040596455016455965	136.0	5.521117882238011	10	0.3110899336067193	0.009818175891688244	68.0	0.6676359606348006	50	-0.291531311020136	0.0136356127581443	71.0	0.9681285058282453																259	-0.32615311037506123	0.02367587557679411	48.0	1.1364420276861174	231	-0.3869765490860986	0.02609597408021311	33.0	0.8611671446470327	22	-0.40466960532672275	0.02159940981617781	32.0	0.6911811141176899	273	-0.20231444314344985	0.038476230422806755	105.0	4.040004194394709					
