	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18
0	0	15_древняя_работа-современная_работа	0.19033959577222506	0.004802361119135297	218.0	1.0469147239714949	149_нищета-состояние	0.23181717189116546	0.013488502793530168	113.0	1.5242008156689093	100_труд-отдых	0.2671621945784976	0.01185989463616851	88.0	1.0436707279828288	246_чистота-беспорядок	-0.1856131075252676	0.01188227635436215	183.0	2.174456572848273	207_фантастика-реальность	0.1651054809169376	0.0065468001990075676	270.0	1.7676360537320437	78_популярность-безвестность	0.2219126479495925	0.009418037281103492	136.0	1.2808530702300749	270_древность-современность	-0.2422558088634948	0.004489606093752946	136.0	0.6105864287504005	188_страх-надёжность	0.2861446616503812	0.018002978989875334	68.0	1.2242025713115228	275_жизненный_процесс-кончина	-0.2865499422545001	0.016983304722463018	69.0	1.1718480258499484	113_скрытность-прозрачность	0.19088461007390745	0.017722591967230826	154.0	2.7292791629535467	43_энергия-покой	0.3396089262523546	0.00975209470449689	57.0	0.5558693981563227	214_спешка-неторопливость	-0.40628794997448575	0.006863278035936096	43.0	0.2951209555452521	97_активность-пассивность	-0.3847318621426238	0.0006541631539123183	75	0.04906223654342387	16_воля-неволя	-0.2685058001614518	0.024609627019218136	70.0	1.7226738913452695	293_соблюдение_закона-правонарушение	0.37365008375243997	0.008896939765582064	48.0	0.4270531087479391	276_начало-конец	-0.4222897937246575	0.014362253483371662	33.0	0.4739543649512649	190_погода-животное	-0.36891623229224196	0.037727153947225416	32.0	1.2072689263112129	218_трусость-мужество	0.2667072872489035	0.005955434074553095	105.0	0.6253205778280749	74_тёплые_чувства-холодные_чувства	-0.368418496064944	0.024854165330882798	37.0	0.9196041172426634
1	1	78_популярность-безвестность	0.17070459921257558	0.011586635371329031	218.0	2.525886510949729	72_недостаток-достоинство	0.19847466091511815	0.03508560986838285	113.0	3.964673915127262	95_доброта-злость	-0.2620924457893389	0.013633564342192685	88.0	1.1997536621129563	289_недовольство-радость	-0.15771586368172044	0.03298345119316226	183.0	6.0359715683486925	140_шум-тишина	-0.15730624989712824	0.009626867756016509	270.0	2.5992542941244583	17_полемика-консенсус	-0.2211767861858512	0.00966290236838683	136.0	1.3141547221006091	281_домоседство-путешествие	0.233305934571546	0.006266382519203283	136.0	0.8522280226116464	146_разум-чувство	-0.2591941089968047	0.03281292206670825	68.0	2.231278700536161	289_недовольство-радость	0.27240605372524024	0.02354677825673861	69.0	1.6247276997149638	120_усталость-покой	-0.18829627046507466	0.019355288985936737	154.0	2.9807145038342573	258_конец-начало	-0.3309171741001541	0.011927005203784678	57.0	0.6798392966157266	197_проблема-решение_проблем	0.387632661797196	0.010220990212114598	43.0	0.4395025791209277	66_курируемый-куратор	-0.3735961130771512	0.00096166300844575	75	0.07212472563343128	142_равенство-иерархия	-0.25841477551121544	0.03077603446847397	70.0	2.1543224127931784	292_экстрим-повседневность	0.3062925564240181	0.034234217150491124	48.0	1.6432424232235738	41_развлечение-когнитивная-способность	-0.3588551805383071	0.040281096420660696	33.0	1.329276181881803						44_упорядоченность-однородная_масса	-0.2051431479112905	0.035789524085355774	105.0	3.757900028962356	5_польза-вред	-0.3614590862300517	0.027940158226783432	37.0	1.033785854390987
2	2	104_неподвижность-подвижность	0.1689775678654329	0.012469420183042269	218.0	2.7183335999032145	289_недовольство-радость	0.19145824368630265	0.04221106664056287	113.0	4.769850530383604	193_порядок-беспорядок	0.26028970614719993	0.014317528396830348	88.0	1.2599424989210706	171_работа-отдых	0.1553783929937317	0.03570333368311869	183.0	6.53371006401072	109_убожество-роскошь	0.1567046692867049	0.00991079622154668	270.0	2.675914979817604	175_нематериальное-материальное	0.19666170359859525	0.021748150918055584	136.0	2.9577485248555595	264_безопасность-опасность	-0.22850041745056965	0.007458487824338516	136.0	1.0143543441100382	34_духовное_наслаждение-физическое_наслаждение	0.2538838796861792	0.03669613602225179	68.0	2.4953372495131214	42_деструктивная_коммуникация-конструктивная_коммуникация	0.2674921339220361	0.02628165951558174	69.0	1.8134345065751398	270_древность-современность	-0.1839381103649992	0.02239891699496825	154.0	3.4494332172251108	166_порядочность-мошенничество	-0.3225495417289441	0.014403615544106704	57.0	0.821006086014082	256_фильм-жизнь	0.3688929220962071	0.014922648355030932	43.0	0.6416738792663299	47_журналистика-литература	0.3543926232481128	0.0018116101025314015	75	0.13587075768985513	128_неловкость-ловкость	0.2493973907776588	0.03733692976248648	70.0	2.613585083374053	22_деятельность_наверху-деятельность_в_земле	0.28962938152738715	0.04585323809738393	48.0	2.200955428674429	112_профессиональный-любительский	0.35104866186010125	0.04516384015271571	33.0	1.4904067250396185						63_мир-война	-0.19739457689542966	0.0435511343407508	105.0	4.5728691057788335	161_холодное_отношение-тёплое_отношение	-0.3535046614759885	0.03184726312236801	37.0	1.1783487355276163
3	3	245_любовь-ненависть	-0.1605009425063759	0.017714165768840755	218.0	3.8616881376072847	236_умственный_труд-физический_труд	-0.19132297015509714	0.04235950711747208	113.0	4.786624304274344	294_испытание-безмятежность	-0.2570584184489455	0.01561808586957784	88.0	1.3743915565228502	179_работа-искусство	0.15500998076661962	0.03614886584522945	183.0	6.615242449676988	93_учёба-отдых	-0.15516486278635255	0.010671605404946143	270.0	2.8813334593354587	10_рутина-отдых	0.1897461244658486	0.026930991046653446	136.0	3.662614782344869	251_недостаток-достоинство	-0.2187957463641965	0.010494098156126072	136.0	1.4271973492331458	176_животное-человек	-0.24229578845557734	0.046508289931459966	68.0	3.1625637153392776	138_война-мир	0.2653229801270619	0.02757166395003216	69.0	1.9024448125522189	289_недовольство-радость	-0.17667131401928596	0.028390922313622138	154.0	4.37220203629781	251_недостаток-достоинство	-0.2953279005101607	0.02572866431735395	57.0	1.4665338660891751	206_расслабление-напряжение	-0.3651952688418038	0.016040038854791917	43.0	0.6897216707560524	50_проблема-взаимовыручка	-0.3543426966950727	0.001814504589270448	75	0.1360878441952836	13_личные_отношения-иерархические_отношения	0.24078741996961356	0.04464896081111505	70.0	3.125427256778053	101_фиксация-пересмотр	0.2888043004283106	0.046503136346212615	48.0	2.232150544618205	275_жизненный_процесс-кончина	-0.3498684299595366	0.04594163793657649	33.0	1.5160740519070246						163_человек-инструмент	-0.19632527474890174	0.04472484200825089	105.0	4.6961084108663425	195_болезнь-работа	-0.3407265101634452	0.03905301588438399	37.0	1.4449615877222075
4	4	81_религия-наука	-0.15717670503716266	0.020244015274996325	218.0	4.413195329949199						239_радость-недовольство	0.2550477036624301	0.016477903516500476	88.0	1.450055509452042	41_развлечение-когнитивная-способность	0.14524888675861047	0.04978073087278238	183.0	9.109873749719176	152_исчезнование-появление	-0.1543327198837677	0.011103890325077451	270.0	2.998050387770912	176_животное-человек	0.1812849124567204	0.034673853197712316	136.0	4.715644034888875	89_апатия-взбудораженность	-0.2180490105429198	0.010767420910552387	136.0	1.4643692438351248	46_идея-реализация	0.2410569513571023	0.04767430130414927	68.0	3.2418524886821505	53_подчинение-неповиновение	0.2649959050324928	0.02777073235140117	69.0	1.9161805322466807	132_правонарушение-соблюдение_закона	0.17288540885406642	0.032021328505629665	154.0	4.9312845898669675	167_дополнение-устранение	-0.293751056910094	0.026567213398431145	57.0	1.5143311637105752	76_мир-война	-0.3637034585390763	0.016510478593119698	43.0	0.709950579504147	200_природа-техника	-0.35306772660720565	0.0018898452081697226	75	0.14173839061272922	148_усталость-бодрость	-0.2390691519116755	0.04624112284624948	70.0	3.2368785992374627	221_получение_денег-отсутствие_денег	0.2848548142742011	0.04971866861705386	48.0	2.386496093618585											260_быт-искусство	-0.19349552346848728	0.047958281728590735	105.0	5.035619581502028	151_забытье-сознание	-0.33615107913832737	0.04193457754617398	37.0	1.5515793692084374
5	5	244_смерть-жизнь	0.15631132543562815	0.0209518470107587	218.0	4.567502648345396						63_мир-война	-0.2535581359107846	0.01714092670215899	88.0	1.5084015497899912						144_физический_труд-искусство	0.1518502090211743	0.012486791344674527	270.0	3.3714336630621227	201_вирус-растение	-0.1706070945253207	0.04705300807785074	136.0	6.3992090985877015	134_физическое-абстрактное	-0.21630350543250665	0.011430854255302806	136.0	1.5545961787211815	192_производство-наука	-0.2406303099202398	0.048081377933750544	68.0	3.269533699495037	232_проблема-решение_проблем	-0.26060925235732585	0.030559778980737005	69.0	2.108624749670853	185_беда-счастье	-0.170196498481039	0.03483279782924645	154.0	5.364250865703954	222_религия-повседневность	-0.2847521910796693	0.03180399468172144	57.0	1.8128276968581218	67_неизменность-изменение	-0.35274676363675544	0.020336152548592785	43.0	0.8744545595894896	239_радость-недовольство	-0.35223059389957845	0.001940831206964933	75	0.14556234052237	141_микробиология-неопределенная_тема	-0.2387826874676199	0.04651105452455745	70.0	3.2557738167190213																209_отрицание-утверждение	0.19305200988541826	0.04848219492355056	105.0	5.090630466972809	204_столкновение-мир	0.3294720213877185	0.04644750353867759	37.0	1.7185576309310708
6	6	42_деструктивная_коммуникация-конструктивная_коммуникация	-0.15259278525700026	0.02424247637231422	218.0	5.2848598491645005						299_веселье-грусть	-0.2521690122355328	0.01777983316007126	88.0	1.5646253180862708						230_отступление-наступление	-0.1505293500079104	0.013282683385450888	270.0	3.58632451407174	289_недовольство-радость	-0.16994827021270434	0.047924145687593823	136.0	6.517683813512759	9_трудности-отсутствие_проблем	0.21044782860771416	0.013925683532392114	136.0	1.893892960405328	123_отдых-работа	-0.2388167832823783	0.04984370574921493	68.0	3.389371990946615	106_кончина-вечное_искусство	-0.2601823322267968	0.03084334867217587	69.0	2.128191058380135	14_изобилие-недостаток	-0.16931247002580818	0.03580155629906568	154.0	5.5134396700561155	61_единство-разрозренность	0.2845816410964048	0.03191100331038479	57.0	1.8189271886919332	235_процесс-итог	-0.3441902754083264	0.02381838503679687	43.0	1.024190556582265	89_апатия-взбудораженность	-0.3520855688894495	0.0019497886414575102	75	0.14623414810931326	232_проблема-решение_проблем	-0.23710735409966116	0.048115784992821806	70.0	3.3681049494975266																208_неживая_природа-живая_природа	0.19250852739908456	0.04913064804901189	105.0	5.158718045146248	167_дополнение-устранение	0.3278718842968801	0.04758474201214803	37.0	1.7606354544494769
7	7	28_неисправность-отлаженность	0.1504301677311217	0.02635373681999256	218.0	5.745114626758378						4_праздник-быт	0.2498433154514306	0.018895418098343403	88.0	1.6627967926542195						264_безопасность-опасность	0.1474908538375181	0.015284874166832371	270.0	4.12691602504474						294_испытание-безмятежность	0.20931832660158567	0.014458134567734338	136.0	1.9663063012118696	217_завоевание-бегство	-0.23880463139328126	0.0498556906573098	68.0	3.3901869646970666	234_холодное_отношение-тёплое_отношение	0.2584145433860597	0.032041161426986375	69.0	2.21084013846206	191_техническое_взаимодействие-животные_взаимоотношения	0.16830290101718312	0.03693561726494834	154.0	5.688085058802044	202_отставание-лидерство	0.2840903840670425	0.032220912492358235	57.0	1.83659201206442	279_соблюдение_закона-правонарушение	-0.3397115274337059	0.025831201982196756	43.0	1.1107416852344605	295_прощение-мстительность	0.35083154417355306	0.0020288068141465377	75	0.15216051106099035																														
8	8	106_кончина-вечное_искусство	-0.14810763549178482	0.028794929232969526	218.0	6.277294572787357						205_отдых-рабочий_процесс	-0.24957021424654166	0.0190302818846517	88.0	1.6746648058493494						296_равенство-иерархия	-0.14636146054842614	0.016093811502507167	270.0	4.345329105676936						63_мир-война	0.20910706405216867	0.014559671211395663	136.0	1.9801152847498105						98_разрушение-поддержание	0.25407337868034463	0.035148872098826604	69.0	2.4252721748190362	263_влияние-зависимость	-0.16733878563029378	0.038046745880125334	154.0	5.859198865539299	65_серьёзность-веселье	-0.274723110069845	0.03862684570325944	57.0	2.2017302050857883	106_кончина-вечное_искусство	0.337282997659992	0.02698055502213484	43.0	1.1601638659517983	73_наука-физический_труд	-0.35063888778188645	0.0020411981068890147	75	0.15308985801667613																														
