	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	203	-0.1459756582591266	0.036755142019286584	206.0	7.571559255973036	161	0.19380541523124073	0.004074505313725724	218.0	0.8882421583922079	95	-0.25853054693635136	0.015013424954052635	88.0	1.3211813959566319	107	-0.21919989135299423	0.002948693093539252	183.0	0.5396108361176831	140	-0.13840618335602833	0.02318350815545249	270.0	6.259547201972172	17	-0.2121616404168166	0.013150477004105574	136.0	1.788464872558358	213	-0.17951960972434175	0.03721569329535349	136.0	5.061334288168075	250	0.3868322735692906	0.002954073744947566	57.0	0.16838220346201127	199	-0.3155712197577115	0.007346308243253373	71.0	0.5215878852709895	59	0.37482118864248914	0.0009223605840537724	75	0.06917704380403293	225	0.31628662670934027	0.028516987412562082	48.0	1.3688153958029798	206	0.3506625821975719	0.04541710488524744	33.0	1.4987644612131654	41	-0.2380264380379971	0.014968345279414931	105.0	1.5716762543385678	288	0.3631427241016061	0.002947526744287715	65.0	0.19158923837870148
1	20	0.14245123551480324	0.041597722829100264	206.0	8.569130902794655	93	-0.18550424141885283	0.006012945261627888	218.0	1.3108220670348796	227	0.23509776119335002	0.027462424982092545	88.0	2.416693398424144	151	-0.19905571950440157	0.007061728732080432	183.0	1.292296357970719	147	-0.12728617712734688	0.03694053997103216	270.0	9.973945792178682	164	0.19167329572609018	0.02539030789370845	136.0	3.453081873544349						263	-0.3809609038509619	0.0034601978618082367	57.0	0.19723127812306948	205	0.28428177676395694	0.016275314412136473	71.0	1.1555473232616895	97	-0.3745465362086572	0.0009310429195565805	75	0.06982821896674354											46	0.21076649925434274	0.03174447024032221	105.0	3.3331693752338323	18	0.33548283997152145	0.006296467012104594	65.0	0.4092703557867986
2	80	0.14019405266314028	0.044972471131578776	206.0	9.264329053105227	101	-0.18450852892278377	0.00629377175561337	218.0	1.3720422427237147	148	0.23351720267959614	0.028550900483263086	88.0	2.5124792425271516	194	0.1654263427302049	0.02563174523698473	183.0	4.6906093783682055						184	0.1742922819203175	0.04241970593980615	136.0	5.769080007813637						160	-0.3616298575861045	0.005710168633664498	57.0	0.3254796121188764	204	0.26930666759349386	0.02314246083410568	71.0	1.6431147192215032	193	-0.3731495808820273	0.000976361988326061	75	0.07322714912445458											172	0.20434064652663897	0.03746174059293106	105.0	3.933482762257761	109	-0.32990255786167433	0.007280462436474309	65.0	0.47323005837083004
3	118	-0.13919625287366222	0.04653574554500892	206.0	9.586363582271838	52	0.18340644297474357	0.00661821786954207	218.0	1.4427714955601714	179	0.23007051451582597	0.03105160611197933	88.0	2.732541337854181																					127	0.35706310584025347	0.0063998844636358855	57.0	0.3647934144272455	298	0.2596660988859497	0.028756532542333835	71.0	2.041713810505702	33	-0.3719797404575175	0.0010158417956704529	75	0.07618813467528397																76	0.32977952617115447	0.007303594782764609	65.0	0.4747336608796996
4	40	0.13909354043612615	0.0466992138761313	206.0	9.620038058483049	65	0.1726338320759476	0.010666029874113107	218.0	2.3251945125566573	72	0.22939642632794302	0.031561677558461655	88.0	2.7774276251446257																					275	0.35565395921977916	0.006626927620810623	57.0	0.3777348743862055	246	-0.2497185407648666	0.03570993740105037	71.0	2.5354055554745765	66	-0.3710603388452247	0.0010478790039273982	75	0.07859092529455486																261	0.328151730372274	0.007615765273321312	65.0	0.49502474276588526
5						70	-0.16911249153884442	0.012398382809735986	218.0	2.702847452522445	19	-0.22851551292492733	0.03223887539199632	88.0	2.837021034495676																					258	-0.35307124741620866	0.007061383709050861	57.0	0.4024988714158991	235	0.23830146131174162	0.04536503358248834	71.0	3.2209173843566723	89	-0.3704252799219009	0.0010705396378080994	75	0.08029047283560746																249	-0.3265408204700501	0.00793612600374728	65.0	0.5158481902435732
6						195	0.16168024679479068	0.01688526773282317	218.0	3.680988365755451	200	0.22790870830218002	0.03271243412099168	88.0	2.8786942026472677																					289	0.35224750042819775	0.007205084991854926	57.0	0.41068984453573076	227	0.2381563765386294	0.045500354446551435	71.0	3.230525165705152	50	-0.36746878702415897	0.0011819900396618668	75	0.08864925297464002																282	-0.31688101082997383	0.010115529234080557	65.0	0.6575094002152362
7						190	0.15903304958563888	0.018795199462985628	218.0	4.097353482930867	220	0.22759898796783695	0.032956391228881325	88.0	2.900162428141557																					296	-0.3466814604685529	0.008244671234393852	57.0	0.46994626036044956	33	-0.23655449459446443	0.04701666759357282	71.0	3.3381833991436705	189	0.36658711876741784	0.0012172010971028366	75	0.09129008228271275																86	0.31522998657725454	0.010535925199765981	65.0	0.6848351379847888
8						144	0.1583153452135364	0.019344300501053475	218.0	4.217057509229657	47	-0.2268882518592635	0.033522005134840945	88.0	2.949936451866003																					177	0.3463648209346002	0.00830754654622673	57.0	0.4735301531349236	286	-0.23585703356136528	0.047689740443459035	71.0	3.3859715714855914	115	0.3634909480587375	0.001348495176274171	75	0.10113713822056282																134	-0.3144533996892751	0.010738854687768126	65.0	0.6980255547049282
